Highest_Charting_Position,Number_of_Times_Charted,Week_of_Highest_Charting,Week_of_Highest_Charting_year,Week_of_Highest_Charting_month,Week_of_Highest_Charting_day,Song_Name,Streams,Artist,Artist_Followers,Song_ID,Release_Date,Release_Date_year,Release_Date_month,Release_Date_day,Weeks_Charted,Weeks_Charted_year,Weeks_Charted_month,Weeks_Charted_day,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_ms,Valence,Chord,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9,Genre_10,Genre_11
8,24,4/2/2021,2021,4,2,Heartbreak Anniversary,8832945,Giveon,1398563,3FAJ6O0NOHQV8Mc5Ri6ENp,3/27/2020,2020,3,27,7/23/2021,2021,7,23,87,0.449,0.465,-8.964,0.079,0.524,0.303,89.087,198371,0.543,C,pop, r&b,,,,,,,,,
92,2,5/15/2020,2020,5,15,X (with KAROL G),5018592,Jonas Brothers,5436999,77fvnWALKJR0ws1VUx09CY,5/15/2020,2020,5,15,5/22/2020,2020,5,22,70,0.715,0.827,-5.09,0.062,0.049,0.321,117.977,185277,0.75,E,boy band, dance pop, pop, post-teen pop,,,,,,,
181,1,12/18/2020,2020,12,18,Christmas Tree Farm,6657404,Taylor Swift,42227614,2mvabkN1i2gLnGAPUVdwek,12/6/2019,2019,12,6,12/18/2020,2020,12,18,52,0.598,0.68,-4.505,0.033,0.06,0.324,134.002,228027,0.437,G,pop, post-teen pop,,,,,,,,,
12,29,11/27/2020,2020,11,27,TE MUDASTE,5242347,Bad Bunny,36142273,5RubKOuDoPn5Kj5TLVxSxY,11/27/2020,2020,11,27,6/11/2021,2021,6,11,82,0.811,0.637,-4.835,0.059,0.234,0.118,92.025,130014,0.471,A#/Bb,latin, reggaeton, trap latino,,,,,,,,
32,10,1/3/2020,2020,1,3,Futsal Shuffle 2020,5386512,Lil Uzi Vert,11821805,2Ec33AVlkTTq8BHFgBTdQs,12/12/2019,2019,12,12,2/28/2020,2020,2,28,67,0.881,0.457,-8.191,0.156,0.033,0.231,136.97,198913,0.296,G,melodic rap, philly rap, rap, trap,,,,,,,
109,1,2/21/2020,2020,2,21,Interlude : Shadow,6655856,BTS,37151476,2Nib4r0saYQf2pUV4RFDhl,2/21/2020,2020,2,21,2/21/2020,2020,2,21,68,0.385,0.798,-6.439,0.483,0.115,0.181,149.756,259821,0.141,A,k-pop, k-pop boy group,,,,,,,,,
135,15,8/28/2020,2020,8,28,El Mismo Aire - con Pablo Alborán,4705484,Camilo,10580764,5EbtodsuLbxrFDH6j5avVS,6/10/2020,2020,6,10,10/16/2020,2020,10,16,75,0.483,0.492,-6.591,0.295,0.603,0.323,144.511,188213,0.66,C,colombian pop, reggaeton colombiano,,,,,,,,,
47,1,6/25/2021,2021,6,25,LEMONHEAD (feat. 42 Dugg),11380679,"Tyler, The Creator",6777818,5fbHRCsGpFIOLRtlhCRFDR,6/25/2021,2021,6,25,6/25/2021,2021,6,25,78,0.62,0.586,-6.612,0.212,0.155,0.535,137.131,130980,0.487,C#/Db,hip hop, rap,,,,,,,,,
76,17,6/26/2020,2020,6,26,Tak Tiki Tak,4761286,Harry Nach,134339,7gwwt1IaAWwmB7af0AcuBM,7/10/2020,2020,7,10,9/25/2020,2020,9,25,71,0.801,0.579,-4.78,0.081,0.333,0.172,99.994,212406,0.231,B,trap chileno, trap latino,,,,,,,,,
129,1,1/24/2020,2020,1,24,Donuts,6113037,Gzuz,1140383,5XVPNr0CAoUn1jD033Ucoo,2/13/2020,2020,2,13,1/24/2020,2020,1,24,62,0.784,0.703,-7.491,0.236,0.097,0.075,141.035,162938,0.556,B,deep german hip hop, german hip hop, hamburg hip hop,,,,,,,,
